address,city,state,zipcode
750 Portage Road,Niagara Falls,NY,14301
15 Webster Street,North Tonawanda,NY,14120
419 Ford Street,Ogdensburg,NY,13669
603 Seneca Street Suite 5,Oneida,NY,13421
450 Waverly Ave,Patchogue,NY,11772
17 Noxon Street,Poughkeepsie,NY,12601
66 Brinkerhoff Street,Plattsburgh,NY,12901
21-41 45th Rd ,Queens,NY,11101
543 Bay Road,Queensbury,NY,12804
877 E Main Street - Suite 109,Riverhead,NY,11901
114 University Avenue,Rochester,NY,14605
111 E. Chestnut Street, Ste. 205,Rome,NY,13440
41 St. Bernard St.,Saranac Lake,NY,12983
236 Washington Street,Saratoga Springs,NY,12866
2824 W Ridge Road ,Rochester,NY,14626
1040 State Street,Schenectady,NY,12307
70 Maple Ave,Smithtown,NY,11787
25 Perlman Drive,Spring Valley,NY,10977
23 Hyatt Street ,Staten Island,NY,10301
1120 E Genesee Street,Syracuse,NY,13210
200 Broadway,Troy,NY,12180
1424 Genesee Street,Utica,NY,13502
106 W. Fourth Street,Watkins Glen,NY,14891
160 Stone Street,Watertown,NY,13601
180 Sunrise Highway,West Islip,NY,11795
Wimbledon Plaza 240 Center Road,West Seneca,NY,14224
175 Tarrytown Road,White Plains,NY,10607
20 S Broadway,Yonkers,NY,10701
